"Search Term","Sell Through Rate","Sold Count"
"1973 Triumph Spitfire climate control","0%","0"
"1984 Lincoln Continental climate control","0%","0"
"1984 Volvo 240 climate control","0%","0"
"1985 BMW 7 Series climate control","0%","0"
"1985 Ford F-150 climate control","77%","40"
"1985 Toyota MR2 climate control","10%","2"
"1986 Chevrolet S-10 Blazer climate control","93%","13"
"1986 Pontiac Fiero climate control","12%","2"
"1987 Jaguar XJS climate control","11%","2"
"1988 Ford E-150 Econoline climate control","30%","3"
"1989 Ford F-150 climate control","28%","48"
"1989 Jaguar XJS climate control","9%","1"
"1989 Nissan Pulsar NX climate control","33%","1"
"1989 Nissan Sentra climate control","18%","3"
"1990 Acura Integra climate control","37%","7"
"1990 Cadillac Eldorado climate control","22%","5"
"1990 Chevrolet Celebrity climate control","0%","0"
"1990 Volkswagen Vanagon climate control","0%","0"
"1991 Acura Legend climate control","41%","11"
"1991 Cadillac Deville climate control","130%","39"
"1991 Chrysler LeBaron climate control","14%","2"
"1991 Dodge Dakota climate control","38%","30"
"1991 Honda Accord climate control","77%","41"
"1991 Infiniti M30 climate control","0%","0"
"1991 Oldsmobile Cutlass Ciera climate control","40%","2"
"1992 Acura Integra climate control","35%","7"
"1992 Chevrolet Camaro climate control","50%","10"
"1992 Toyota Paseo climate control","11%","1"
"1993 Buick Park Avenue climate control","38%","8"
"1993 Infiniti G20 climate control","75%","3"
"1993 Mercury Grand Marquis climate control","14%","1"
"1993 Volkswagen Eurovan climate control","19%","3"
"1994 Buick Park Avenue climate control","42%","11"
"1994 Cadillac Deville climate control","44%","7"
"1994 Chevrolet Astro climate control","23%","6"
"1994 Chevrolet G20 climate control","53%","19"
"1994 Ford F-150 climate control","77%","181"
"1994 Ford Mustang climate control","12%","22"
"1994 Honda Accord climate control","55%","29"
"1994 Honda Passport climate control","40%","2"
"1994 Lincoln Town Car climate control","100%","14"
"1995 Buick LeSabre climate control","68%","32"
"1995 Chevrolet Blazer climate control","89%","123"
"1995 Ford Escort climate control","25%","1"
"1995 Ford Explorer climate control","36%","90"
"1995 Ford Windstar climate control","12%","6"
"1995 Oldsmobile Aurora climate control","13%","1"
"1996 Chevrolet Blazer climate control","90%","122"
"1996 Chevrolet C1500 climate control","30%","80"
"1996 Dodge Ram 1500 climate control","57%","86"
"1996 Ford E-250 Econoline climate control","124%","42"
"1996 Ford Mustang climate control","14%","25"
"1996 Honda Accord climate control","45%","37"
"1996 Honda Odyssey climate control","35%","6"
"1996 Jeep Grand Cherokee climate control","67%","64"
"1996 Mercury Grand Marquis climate control","61%","19"
"1996 Saturn SL2 climate control","6%","2"
"1996 Toyota Avalon climate control","41%","19"
"1996 Toyota Camry climate control","25%","17"
"1997 Chevrolet K1500 climate control","38%","121"
"1997 Chevrolet Tahoe climate control","40%","179"
"1997 Dodge Ram 1500 climate control","67%","104"
"1997 Ford Crown Victoria climate control","42%","25"
"1997 Ford Escort climate control","42%","5"
"1997 Ford Expedition climate control","34%","193"
"1997 Ford F-150 climate control","45%","282"
"1997 Honda Civic climate control","40%","94"
"1997 Jaguar XJ6 climate control","6%","8"
"1997 Jeep Grand Cherokee climate control","84%","54"
"1997 Lexus ES300 climate control","11%","8"
"1997 Mercury Cougar climate control","27%","3"
"1997 Nissan Altima climate control","4%","2"
"1997 Subaru Legacy climate control","69%","11"
"1997 Toyota Camry climate control","23%","38"
"1998 Buick Century climate control","78%","28"
"1998 Buick LeSabre climate control","83%","33"
"1998 Buick Park Avenue climate control","83%","54"
"1998 Chevrolet C1500 climate control","31%","80"
"1998 Dodge Neon climate control","0%","0"
"1998 Dodge Ram 1500 climate control","55%","139"
"1998 Ford Expedition climate control","34%","186"
"1998 Ford Explorer climate control","36%","109"
"1998 Ford F-150 climate control","42%","210"
"1998 GMC C1500 climate control","28%","68"
"1998 Honda CR-V climate control","28%","29"
"1998 Jeep Cherokee climate control","75%","63"
"1998 Jeep Grand Cherokee climate control","78%","54"
"1998 Lexus ES300 climate control","11%","7"
"1998 Lexus LS400 climate control","63%","27"
"1998 Mercury Grand Marquis climate control","57%","62"
"1998 Mitsubishi Montero Sport climate control","25%","2"
"1998 Nissan Altima climate control","1%","1"
"1998 Oldsmobile 88 climate control","64%","7"
"1998 Toyota Avalon climate control","51%","24"
"1998 Toyota Camry climate control","22%","34"
"1998 Toyota Corolla climate control","9%","14"
"1998 Toyota RAV4 climate control","57%","16"
"1999 Buick Park Avenue climate control","84%","54"
"1999 Cadillac Deville climate control","45%","5"
"1999 Chevrolet C1500 climate control","32%","89"
"1999 Chevrolet Silverado 1500 climate control","30%","167"
"1999 Dodge Ram 1500 climate control","44%","59"
"1999 Ford E-150 Econoline climate control","120%","139"
"1999 Ford Expedition climate control","28%","215"
"1999 Ford Explorer climate control","38%","109"
"1999 Ford Mustang climate control","30%","60"
"1999 Ford Ranger climate control","35%","106"
"1999 Honda Accord climate control","30%","158"
"1999 Honda CR-V climate control","29%","41"
"1999 Lexus SC300 climate control","23%","14"
"1999 Mercury Mountaineer climate control","48%","43"
"1999 Nissan Altima climate control","7%","4"
"1999 Oldsmobile Intrigue climate control","69%","9"
"1999 Subaru Forester climate control","53%","10"
"1999 Suzuki Grand Vitara climate control","200%","4"
"1999 Toyota Camry climate control","27%","39"
"1999 Toyota Solara climate control","23%","33"
"2000 Acura TL climate control","15%","15"
"2000 Buick Park Avenue climate control","81%","48"
"2000 Chevrolet Camaro climate control","29%","24"
"2000 Chevrolet Impala climate control","110%","32"
"2000 Chevrolet Suburban 1500 climate control","21%","96"
"2000 Dodge Dakota climate control","31%","35"
"2000 Dodge Grand Caravan climate control","93%","14"
"2000 Dodge Ram 1500 climate control","63%","120"
"2000 Ford Expedition climate control","26%","213"
"2000 Ford Explorer climate control","38%","112"
"2000 Ford Focus climate control","43%","103"
"2000 Ford Taurus climate control","44%","8"
"2000 Ford Windstar climate control","15%","6"
"2000 Honda Accord climate control","29%","221"
"2000 Honda Odyssey climate control","16%","87"
"2000 Hyundai Elantra climate control","18%","2"
"2000 Jeep Cherokee climate control","76%","68"
"2000 Lexus ES300 climate control","7%","12"
"2000 Lexus RX300 climate control","53%","19"
"2000 Lincoln Town Car climate control","26%","19"
"2000 Mazda 626 climate control","2%","1"
"2000 Mercury Grand Marquis climate control","55%","57"
"2000 Mercury Mystique climate control","0%","0"
"2000 Mercury Sable climate control","29%","2"
"2000 Mitsubishi Galant climate control","10%","2"
"2000 Nissan Altima climate control","8%","6"
"2000 Nissan Sentra climate control","29%","80"
"2000 Nissan Xterra climate control","64%","43"
"2000 Porsche Boxster climate control","36%","28"
"2000 Toyota Avalon climate control","29%","34"
"2000 Toyota Camry climate control","28%","48"
"2000 Toyota Land Cruiser climate control","18%","22"
"2000 Toyota Sienna climate control","20%","18"
"2000 Toyota Solara climate control","22%","33"
"2000 Volkswagen Beetle climate control","18%","17"
"2001 Acura TL climate control","14%","14"
"2001 Buick Century climate control","23%","35"
"2001 Buick LeSabre climate control","43%","89"
"2001 Cadillac Eldorado climate control","31%","4"
"2001 Chevrolet Blazer climate control","26%","57"
"2001 Chevrolet Impala climate control","84%","26"
"2001 Chevrolet Malibu climate control","20%","11"
"2001 Chevrolet S10 climate control","29%","54"
"2001 Chevrolet Silverado 2500 HD climate control","11%","29"
"2001 Chevrolet Tahoe climate control","25%","193"
"2001 Chrysler Town & Country climate control","12%","21"
"2001 Dodge Durango climate control","37%","49"
"2001 Dodge Grand Caravan climate control","17%","18"
"2001 Dodge Ram 1500 climate control","57%","163"
"2001 Ford Crown Victoria climate control","74%","92"
"2001 Ford E-150 Econoline climate control","123%","139"
"2001 Ford Escort climate control","40%","2"
"2001 Ford Expedition climate control","26%","211"
"2001 Ford Explorer Sport climate control","20%","44"
"2001 Ford Explorer Sport Trac climate control","21%","43"
"2001 Ford F-150 climate control","36%","235"
"2001 Ford Mustang climate control","37%","68"
"2001 GMC Sierra 1500 climate control","20%","89"
"2001 Honda Accord climate control","25%","147"
"2001 Hyundai Accent climate control","80%","8"
"2001 Hyundai Santa Fe climate control","11%","5"
"2001 Isuzu Rodeo climate control","74%","31"
"2001 Jeep Grand Cherokee climate control","65%","135"
"2001 Kia Rio climate control","7%","1"
"2001 Kia Sephia climate control","0%","0"
"2001 Lexus GS300 climate control","44%","27"
"2001 Lincoln Town Car climate control","32%","28"
"2001 Mazda Protege climate control","38%","5"
"2001 Mazda Tribute climate control","20%","8"
"2001 Mercury Grand Marquis climate control","51%","53"
"2001 Mercury Sable climate control","17%","1"
"2001 Mitsubishi Mirage climate control","7%","1"
"2001 Mitsubishi Montero Sport climate control","11%","5"
"2001 Nissan Altima climate control","17%","9"
"2001 Nissan Frontier climate control","44%","50"
"2001 Nissan Maxima climate control","29%","15"
"2001 Nissan Pathfinder climate control","50%","44"
"2001 Nissan Quest climate control","4%","2"
"2001 Nissan Xterra climate control","40%","49"
"2001 Subaru Outback climate control","17%","18"
"2001 Suzuki Swift climate control","0%","0"
"2001 Suzuki Vitara climate control","33%","2"
"2001 Toyota Avalon climate control","32%","41"
"2001 Toyota Camry climate control","28%","49"
"2001 Toyota Sequoia climate control","55%","106"
"2001 Toyota Sienna climate control","17%","16"
"2001 Volkswagen Beetle climate control","18%","17"
"2001 Volkswagen Cabrio climate control","38%","6"
"2001 Volkswagen Passat climate control","8%","9"
"2002 Acura TL climate control","14%","15"
"2002 BMW 325i climate control","11%","47"
"2002 Buick Century climate control","23%","35"
"2002 Buick LeSabre climate control","44%","89"
"2002 Chevrolet Impala climate control","90%","26"
"2002 Chevrolet Malibu climate control","20%","11"
"2002 Chevrolet S10 climate control","30%","56"
"2002 Chevrolet TrailBlazer climate control","35%","64"
"2002 Chevrolet TrailBlazer EXT climate control","34%","24"
"2002 Chrysler Concorde climate control","38%","27"
"2002 Chrysler Town & Country climate control","12%","20"
"2002 Dodge Dakota climate control","39%","92"
"2002 Dodge Durango climate control","43%","56"
"2002 Dodge Intrepid climate control","28%","22"
"2002 Dodge Ram 1500 climate control","56%","265"
"2002 Ford Expedition climate control","27%","230"
"2002 Ford Explorer climate control","15%","168"
"2002 Ford F-150 climate control","39%","263"
"2002 Ford Focus climate control","44%","101"
"2002 GMC Envoy climate control","35%","53"
"2002 GMC Yukon climate control","26%","260"
"2002 Honda Accord climate control","24%","149"
"2002 Honda Civic climate control","23%","103"
"2002 Isuzu Trooper climate control","26%","8"
"2002 Jeep Grand Cherokee climate control","61%","129"
"2002 Jeep Liberty climate control","29%","37"
"2002 Lexus ES300 climate control","50%","22"
"2002 Lexus GS300 climate control","44%","27"
"2002 Lexus GS430 climate control","44%","22"
"2002 Lexus RX300 climate control","60%","21"
"2002 Lincoln Town Car climate control","34%","32"
"2002 Mazda Protege climate control","57%","4"
"2002 Mercury Sable climate control","14%","1"
"2002 Nissan Altima climate control","29%","47"
"2002 Nissan Maxima climate control","29%","16"
"2002 Nissan Pathfinder climate control","59%","44"
"2002 Nissan Sentra climate control","29%","78"
"2002 Nissan Xterra climate control","63%","91"
"2002 Pontiac Bonneville climate control","24%","6"
"2002 Subaru Legacy climate control","10%","20"
"2002 Toyota Avalon climate control","32%","41"
"2002 Toyota Camry climate control","14%","143"
"2002 Toyota Corolla climate control","6%","13"
"2002 Toyota RAV4 climate control","29%","24"
"2002 Toyota Sequoia climate control","53%","110"
"2002 Toyota Sienna climate control","17%","18"
"2002 Volkswagen Beetle climate control","18%","17"
"2002 Volkswagen Jetta climate control","6%","7"
"2002 Volkswagen Passat climate control","8%","8"
"2002 Volvo S60 climate control","30%","24"
"2003 Acura MDX climate control","6%","23"
"2003 Acura TL climate control","14%","15"
"2003 Audi A6 climate control","5%","4"
"2003 BMW 325i climate control","10%","44"
"2003 Buick Century climate control","23%","35"
"2003 Buick LeSabre climate control","44%","89"
"2003 Cadillac Deville climate control","23%","28"
"2003 Chevrolet Astro climate control","36%","46"
"2003 Chevrolet Cavalier climate control","26%","9"
"2003 Chevrolet Impala climate control","110%","33"
"2003 Chevrolet Suburban 1500 climate control","38%","112"
"2003 Chevrolet TrailBlazer climate control","35%","175"
"2003 Chrysler Town & Country climate control","13%","21"
"2003 Dodge Durango climate control","43%","57"
"2003 Dodge Ram 1500 climate control","47%","246"
"2003 Dodge Ram 1500 Van climate control","38%","22"
"2003 Ford Crown Victoria climate control","64%","121"
"2003 Ford E-150 climate control","93%","165"
"2003 Ford Escape climate control","27%","51"
"2003 Ford Expedition climate control","30%","219"
"2003 Ford Explorer climate control","18%","180"
"2003 Ford F-150 climate control","0%","265"
"2003 Ford Focus climate control","43%","98"
"2003 Ford Mustang climate control","32%","62"
"2003 Ford Taurus climate control","50%","12"
"2003 Ford Windstar climate control","12%","6"
"2003 GMC Envoy XL climate control","26%","53"
"2003 GMC Sierra 1500 climate control","44%","148"
"2003 GMC Yukon XL 1500 climate control","27%","90"
"2003 Honda Accord climate control","91%","128"
"2003 Honda Civic climate control","22%","106"
"2003 Honda CR-V climate control","30%","46"
"2003 Honda Element climate control","18%","33"
"2003 Honda Insight climate control","50%","6"
"2003 Honda Odyssey climate control","11%","54"
"2003 Honda Pilot climate control","9%","35"
"2003 Kia Sorento climate control","6%","10"
"2003 Land Rover Discovery climate control","8%","12"
"2003 Lexus RX300 climate control","51%","23"
"2003 Lincoln Navigator climate control","23%","28"
"2003 Lincoln Town Car climate control","26%","39"
"2003 Mazda 6 climate control","21%","24"
"2003 Mazda Protege climate control","36%","4"
"2003 Mercury Grand Marquis climate control","54%","84"
"2003 Mini Cooper climate control","13%","11"
"2003 Mitsubishi Lancer climate control","93%","64"
"2003 Mitsubishi Outlander climate control","135%","50"
"2003 Nissan Altima climate control","36%","49"
"2003 Nissan Frontier climate control","54%","74"
"2003 Nissan Maxima climate control","22%","13"
"2003 Nissan Murano climate control","16%","39"
"2003 Nissan Sentra climate control","28%","77"
"2003 Nissan Xterra climate control","55%","89"
"2003 Subaru Forester climate control","14%","27"
"2003 Toyota Avalon climate control","38%","41"
"2003 Toyota Camry climate control","15%","141"
"2003 Toyota Corolla climate control","49%","98"
"2003 Volkswagen Jetta climate control","7%","7"
"2003 Volvo S60 climate control","35%","28"
"2004 Audi A4 climate control","9%","13"
"2004 BMW 330i climate control","10%","39"
"2004 BMW X3 climate control","12%","27"
"2004 BMW X5 climate control","46%","78"
"2004 Buick LeSabre climate control","45%","90"
"2004 Buick Park Avenue climate control","82%","47"
"2004 Buick Rendezvous climate control","72%","52"
"2004 Chevrolet Avalanche 1500 climate control","41%","81"
"2004 Chevrolet Blazer climate control","20%","46"
"2004 Chevrolet Cavalier climate control","26%","9"
"2004 Chevrolet Classic climate control","50%","7"
"2004 Chevrolet Silverado 1500 climate control","67%","266"
"2004 Chevrolet Suburban 1500 climate control","30%","117"
"2004 Chevrolet Tahoe climate control","50%","363"
"2004 Chevrolet TrailBlazer climate control","37%","163"
"2004 Chrysler Pacifica climate control","24%","26"
"2004 Dodge Dakota climate control","27%","97"
"2004 Dodge Durango climate control","32%","69"
"2004 Dodge Ram 1500 climate control","48%","229"
"2004 Ford Escape climate control","29%","57"
"2004 Ford Expedition climate control","31%","167"
"2004 Ford Explorer climate control","16%","121"
"2004 Ford F-150 climate control","45%","625"
"2004 Ford F-250 Super Duty climate control","26%","71"
"2004 Ford Mustang climate control","37%","74"
"2004 Ford Ranger climate control","31%","111"
"2004 Honda Accord climate control","81%","142"
"2004 Honda Civic climate control","23%","108"
"2004 Honda CR-V climate control","32%","50"
"2004 Honda Odyssey climate control","11%","54"
"2004 Hyundai Elantra climate control","19%","11"
"2004 Hyundai Santa Fe climate control","14%","25"
"2004 Hyundai Sonata climate control","25%","14"
"2004 Hyundai XG350 climate control","3%","2"
"2004 Infiniti FX35 climate control","39%","18"
"2004 Infiniti G35 climate control","23%","21"
"2004 Infiniti QX56 climate control","27%","37"
"2004 Isuzu Ascender climate control","12%","20"
"2004 Isuzu Rodeo climate control","69%","31"
"2004 Jeep Liberty climate control","19%","52"
"2004 Kia Rio climate control","250%","5"
"2004 Kia Sorento climate control","8%","12"
"2004 Kia Spectra climate control","9%","4"
"2004 Lincoln Navigator climate control","21%","23"
"2004 Mazda 3 climate control","44%","35"
"2004 Mercury Grand Marquis climate control","52%","78"
"2004 Mercury Mountaineer climate control","11%","59"
"2004 Mini Cooper climate control","16%","20"
"2004 Mitsubishi Endeavor climate control","15%","4"
"2004 Nissan Altima climate control","26%","50"
"2004 Nissan Murano climate control","15%","38"
"2004 Nissan Pathfinder climate control","50%","69"
"2004 Nissan Pathfinder Armada climate control","52%","23"
"2004 Nissan Quest climate control","41%","38"
"2004 Nissan Titan climate control","103%","181"
"2004 Nissan Xterra climate control","58%","97"
"2004 Pontiac Grand Prix climate control","48%","32"
"2004 Porsche Cayenne climate control","9%","13"
"2004 Suzuki Forenza climate control","17%","5"
"2004 Toyota Camry climate control","13%","121"
"2004 Volkswagen Beetle climate control","19%","17"
"2004 Volkswagen Passat climate control","7%","7"
"2004 Volkswagen Touareg climate control","13%","15"
"2004 Volvo S60 climate control","38%","34"
"2005 Acura MDX climate control","6%","24"
"2005 Acura TL climate control","13%","23"
"2005 BMW 745i climate control","7%","9"
"2005 BMW X3 climate control","10%","22"
"2005 Buick LaCrosse climate control","25%","16"
"2005 Buick LeSabre climate control","48%","99"
"2005 Cadillac CTS climate control","4%","18"
"2005 Chevrolet Avalanche 1500 climate control","51%","76"
"2005 Chevrolet Aveo climate control","4%","3"
"2005 Chevrolet Cobalt climate control","22%","51"
"2005 Chevrolet Express 2500 climate control","25%","41"
"2005 Chevrolet Impala climate control","58%","54"
"2005 Chevrolet Malibu climate control","44%","37"
"2005 Chevrolet Silverado 1500 climate control","73%","259"
"2005 Chevrolet Suburban climate control","44%","133"
"2005 Chevrolet Tahoe climate control","52%","365"
"2005 Chrysler 300 climate control","47%","119"
"2005 Chrysler Pacifica climate control","14%","25"
"2005 Chrysler Sebring climate control","37%","47"
"2005 Chrysler Town & Country climate control","25%","66"
"2005 Dodge Dakota climate control","39%","123"
"2005 Dodge Durango climate control","29%","72"
"2005 Dodge Neon climate control","48%","21"
"2005 Dodge Ram 1500 climate control","48%","283"
"2005 Ford Crown Victoria climate control","66%","114"
"2005 Ford E-150 climate control","77%","182"
"2005 Ford Escape climate control","18%","66"
"2005 Ford Expedition climate control","21%","85"
"2005 Ford F-150 climate control","39%","473"
"2005 Ford Five Hundred climate control","35%","17"
"2005 Ford Focus climate control","44%","96"
"2005 Ford Freestar climate control","10%","12"
"2005 Ford Freestyle climate control","16%","21"
"2005 Ford Taurus climate control","42%","10"
"2005 GMC Envoy climate control","47%","224"
"2005 GMC Envoy XL climate control","27%","54"
"2005 Honda Accord climate control","111%","125"
"2005 Honda Odyssey climate control","7%","46"
"2005 Honda Pilot climate control","9%","34"
"2005 Hyundai Accent climate control","83%","5"
"2005 Hyundai Elantra climate control","21%","13"
"2005 Hyundai Sonata climate control","29%","18"
"2005 Hyundai XG350 climate control","3%","2"
"2005 Infiniti FX35 climate control","34%","19"
"2005 Infiniti G35 climate control","24%","23"
"2005 Infiniti QX56 climate control","27%","36"
"2005 Jeep Liberty climate control","21%","53"
"2005 Kia Sorento climate control","8%","12"
"2005 Kia Spectra climate control","11%","4"
"2005 Lexus ES330 climate control","50%","24"
"2005 Lexus LS430 climate control","23%","25"
"2005 Lincoln Town Car climate control","27%","35"
"2005 Mazda 3 climate control","41%","27"
"2005 Mazda 6 climate control","19%","22"
"2005 Mazda MPV climate control","10%","4"
"2005 Mitsubishi Endeavor climate control","17%","4"
"2005 Nissan Altima climate control","10%","32"
"2005 Nissan Armada climate control","70%","171"
"2005 Nissan Maxima climate control","13%","36"
"2005 Pontiac Grand Prix climate control","44%","31"
"2005 Pontiac Vibe climate control","20%","6"
"2005 Saturn Ion climate control","500%","10"
"2005 Saturn Vue climate control","41%","7"
"2005 Scion tC climate control","46%","67"
"2005 Subaru Outback climate control","34%","30"
"2005 Toyota 4Runner climate control","73%","92"
"2005 Toyota Camry climate control","13%","116"
"2005 Toyota Corolla climate control","44%","92"
"2005 Toyota Echo climate control","8%","1"
"2005 Toyota Prius climate control","20%","10"
"2005 Toyota Sienna climate control","13%","48"
"2005 Volkswagen Beetle climate control","19%","17"
"2005 Volkswagen Jetta climate control","8%","41"
"2005 Volvo V50 climate control","32%","12"
"2005 Volvo XC90 climate control","28%","34"
"2006 Acura MDX climate control","7%","30"
"2006 Acura TL climate control","18%","35"
"2006 Acura TSX climate control","30%","3"
"2006 BMW 325i climate control","8%","57"
"2006 BMW 330i climate control","9%","55"
"2006 BMW 750Li climate control","9%","10"
"2006 BMW X5 climate control","42%","82"
"2006 Buick Lucerne climate control","13%","18"
"2006 Buick Rendezvous climate control","70%","52"
"2006 Cadillac CTS climate control","5%","20"
"2006 Chevrolet Cobalt climate control","20%","44"
"2006 Chevrolet Equinox climate control","104%","52"
"2006 Chevrolet HHR climate control","63%","52"
"2006 Chevrolet Impala climate control","7%","49"
"2006 Chevrolet Malibu climate control","64%","28"
"2006 Chevrolet Monte Carlo climate control","4%","10"
"2006 Chevrolet Silverado 1500 climate control","75%","258"
"2006 Chevrolet TrailBlazer climate control","36%","167"
"2006 Chevrolet Uplander climate control","9%","7"
"2006 Chrysler 300 climate control","36%","145"
"2006 Chrysler Pacifica climate control","14%","25"
"2006 Chrysler PT Cruiser climate control","14%","16"
"2006 Dodge Durango climate control","30%","71"
"2006 Dodge Grand Caravan climate control","22%","45"
"2006 Dodge Magnum climate control","39%","70"
"2006 Dodge Ram 1500 climate control","50%","175"
"2006 Ford Escape climate control","19%","69"
"2006 Ford Expedition climate control","18%","70"
"2006 Ford Explorer climate control","15%","106"
