Year,Make,Model,Location,Available
2007,Hyundai,Santa Fe,"CARS 64,18",1/9/2026
2013,Bmw,X3,"CARS 64,19",1/9/2026
2006,Mitsubishi,Galant,"CARS 64,20",1/9/2026
2000,Ford,Focus,"CARS 64,21",1/9/2026
2002,Ford,F 150,"TRUCKS 9,6",1/9/2026
1994,Buick,Park Avenue,"CARS 63,5",1/9/2026
2007,Chevrolet,Hhr,"CARS 63,4",1/9/2026
2008,Chrysler,300,"CARS 63,1",1/9/2026
2010,Chrysler,Town  Country,"CARS 64,27",1/9/2026
2005,Dodge,Dakota,"TRUCKS 9,9",1/9/2026
1996,Dodge,Ram 1500,"TRUCKS 9,8",1/9/2026
2010,Ford,Escape,"CARS 63,6",1/9/2026
2003,Ford,Expedition,"CARS 63,3",1/9/2026
2007,Ford,Explorer,"CARS 64,26",1/9/2026
2001,Ford,Explorer Sport Trac,"TRUCKS 9,7",1/9/2026
2004,Honda,Accord,"CARS 64,22",1/9/2026
2015,Kia,Forte,"CARS 64,24",1/9/2026
2005,Kia,Spectra,"CARS 63,26",1/9/2026
2012,Mazda,3,"CARS 64,1",1/9/2026
2004,Mercury,Grand Marquis,"CARS 63,2",1/9/2026
2011,Mitsubishi,Galant,"CARS 64,23",1/9/2026
2015,Nissan,Altima,"CARS 64,25",1/9/2026
2008,Nissan,Sentra,"CARS 63,24",1/9/2026
2005,Pontiac,Grand Prix,"CARS 63,25",1/9/2026
2003,Toyota,Camry,"CARS 63,27",1/9/2026
2007,Nissan,Xterra,"CARS 63,7",1/8/2026
2006,Jeep,Liberty,"CARS 63,9",1/8/2026
2005,Lexus,Es330,"CARS 63,10",1/8/2026
2009,Toyota,Camry,"CARS 63,11",1/8/2026
2008,Volvo,Xc90,"CARS 63,12",1/8/2026
2017,Mitsubishi,Lancer,"CARS 63,13",1/8/2026
2013,Gmc,Terrain,"CARS 63,14",1/8/2026
2010,Volkswagen,Cc,"CARS 63,15",1/8/2026
2006,Bmw,X5,"CARS 63,16",1/8/2026
2006,Honda,Accord,"CARS 63,17",1/8/2026
2010,Mini,Cooper,"CARS 63,18",1/8/2026
2005,Toyota,Camry,"CARS 63,19",1/8/2026
2018,Hyundai,Santa Fe Sport,"CARS 63,20",1/8/2026
2004,Pontiac,Grand Prix,"CARS 63,21",1/8/2026
2009,Hyundai,Santa Fe,"CARS 63,22",1/8/2026
2008,Nissan,Altima,"CARS 63,23",1/8/2026
2003,Gmc,Sierra 1500,"TRUCKS 9,4",1/8/2026
2005,Ford,F 150,"TRUCKS 9,5",1/8/2026
2006,Mercedes,Benz Cls500,"CARS 62,1",1/8/2026
2004,Chevrolet,Tahoe,"CARS 62,2",1/8/2026
2006,Nissan,Altima,"CARS 62,3",1/8/2026
2012,Chevrolet,Tahoe,"CARS 62,4",1/8/2026
2001,Honda,Accord,"CARS 62,5",1/8/2026
2004,Jeep,Liberty,"CARS 62,6",1/8/2026
2004,Chevrolet,Trailblazer,"CARS 63,8",1/8/2026
2009,Acura,Mdx,"CARS 62,17",1/7/2026
2011,Audi,A4,"CARS 62,18",1/7/2026
2004,Chevrolet,Tahoe,"CARS 62,15",1/7/2026
2012,Dodge,Charger,"CARS 61,19",1/7/2026
2004,Dodge,Ram 1500,"TRUCKS 9,2",1/7/2026
2008,Ford,Edge,"CARS 61,21",1/7/2026
2006,Ford,F 150,"TRUCKS 9,1",1/7/2026
2003,Ford,Focus,"CARS 61,2",1/7/2026
2012,Ford,Focus,"CARS 62,8",1/7/2026
2005,Ford,Freestar,"CARS 61,20",1/7/2026
2004,Honda,Accord,"CARS 62,13",1/7/2026
2005,Honda,Accord,"CARS 62,16",1/7/2026
2009,Hyundai,Elantra,"CARS 61,3",1/7/2026
2001,Hyundai,Santa Fe,"CARS 61,1",1/7/2026
2002,Jeep,Grand Cherokee,"CARS 62,19",1/7/2026
2006,Lexus,Gs300,"CARS 62,9",1/7/2026
2007,Lincoln,Mkz,"CARS 62,10",1/7/2026
2006,Mazda,Tribute,"CARS 62,7",1/7/2026
2009,Nissan,Altima,"CARS 62,20",1/7/2026
2013,Nissan,Altima,"CARS 62,14",1/7/2026
2012,Nissan,Murano,"CARS 62,21",1/7/2026
2004,Nissan,Xterra,"CARS 62,23",1/7/2026
2005,Toyota,Sienna,"CARS 62,11",1/7/2026
2014,Volkswagen,Jetta,"CARS 62,12",1/7/2026
2008,Volkswagen,Passat,"CARS 62,22",1/7/2026
2007,Mercedes,Benz Ml350,"CARS 60,6",1/6/2026
2006,Acura,Mdx,"CARS 60,17",1/6/2026
2007,Acura,Mdx,"CARS 61,17",1/6/2026
2010,Audi,Q5,"CARS 61,9",1/6/2026
2006,Bmw,750li,"CARS 60,3",1/6/2026
2006,Buick,Lucerne,"CARS 61,15",1/6/2026
2012,Chevrolet,Cruze,"CARS 61,7",1/6/2026
2013,Ford,Edge,"CARS 60,4",1/6/2026
2011,Honda,Pilot,"CARS 61,8",1/6/2026
2006,Hyundai,Sonata,"CARS 60,1",1/6/2026
2007,Kia,Spectra,"CARS 61,16",1/6/2026
1997,Lexus,Es300,"CARS 60,2",1/6/2026
2004,Mazda,3,"CARS 61,14",1/6/2026
2014,Mini,Cooper Countryman,"CARS 61,13",1/6/2026
2008,Nissan,Altima,"CARS 61,18",1/6/2026
2014,Nissan,Altima,"CARS 61,5",1/6/2026
2004,Porsche,Cayenne,"CARS 60,18",1/6/2026
2008,Suzuki,Grand Vitara,"CARS 60,16",1/6/2026
2010,Suzuki,Kizashi,"CARS 61,4",1/6/2026
2000,Toyota,Avalon,"CARS 60,7",1/6/2026
2001,Toyota,Camry,"CARS 61,6",1/6/2026
2003,Toyota,Camry,"CARS 61,11",1/6/2026
2006,Toyota,Corolla,"CARS 60,5",1/6/2026
2010,Volkswagen,Tiguan,"CARS 61,12",1/6/2026
2012,Volkswagen,Tiguan,"CARS 61,10",1/6/2026